timestamp,traffic_congestion_level,weather_condition_severity,route_risk_level,eta_variation_hours,eta_variation_new,treatment,propensity_score,traffic_group,weather_group,risk_group
2021-01-01 08:00:00,9.613160806316962,0.8679998828346526,7.1588677455367575,4.958875073870871,4.1094563519819065,1,0.35507331816399407,High Traffic,Severe Weather,High Risk
2021-01-01 12:00:00,1.1143599965680189,0.2885508642558519,8.416565264382339,4.998450867180036,4.531571222956373,1,0.13400219391386484,Low Traffic,Mild Weather,High Risk
2021-01-01 15:00:00,8.89658905757381,0.521328597752165,8.988752766786304,4.303424804937412,3.5017473165424864,1,0.3312552812185057,High Traffic,Severe Weather,High Risk
2021-01-01 16:00:00,5.372658280153342,0.5304909408474249,9.999335436695322,4.989708554126019,4.319365527666262,1,0.23103302434706452,High Traffic,Severe Weather,High Risk
2021-01-01 22:00:00,6.524885920469382,0.0616294016949057,5.157934248607691,4.909053828651491,4.3776180738011075,1,0.2518982921968529,High Traffic,Mild Weather,High Risk
2021-01-01 23:00:00,3.9296612184871247,0.7996784817224646,9.228818074198127,0.9536099569626236,0.3308606789633747,1,0.18519154079550262,Low Traffic,Severe Weather,High Risk
2021-01-02 02:00:00,6.578095839538061,0.9999319466150312,5.418797387517055,4.998602655490017,4.330478189831092,1,0.2552181680523301,High Traffic,Severe Weather,High Risk
2021-01-02 03:00:00,2.56573476383175,0.814288080018852,9.99740143705265,4.885917895729842,4.2017239451439385,1,0.17104612814971862,Low Traffic,Severe Weather,High Risk
2021-01-02 18:00:00,0.0614088613384699,0.969680063535896,9.45478263853908,4.262434370992327,3.688180938794849,1,0.11956631132923357,Low Traffic,Severe Weather,High Risk
2021-01-03 01:00:00,9.9999930757501,0.7568892381344293,2.706109866455373,4.998949503962521,4.354540645080107,1,0.3564912796143012,High Traffic,Severe Weather,Low Risk
2021-01-03 12:00:00,9.394943617338829,0.0582264718225012,3.515704571084698,4.806184185449089,4.237228721150759,1,0.3422460051361577,High Traffic,Mild Weather,Low Risk
2021-01-04 01:00:00,3.461586268394417,0.0155798504555065,1.4435856505811973,4.618954317199654,4.25583514406464,1,0.18291327710433491,Low Traffic,Mild Weather,Low Risk
